Date,Value,Type
5/13/2023,16,PM10
5/14/2023,21,PM10
5/15/2023,18,PM10
5/16/2023,20,PM10
5/17/2023,18,PM10
5/18/2023,15,PM10
5/19/2023,14,PM10
5/20/2023,9,PM10
5/21/2023,11,PM10
5/22/2023,22,PM10
5/23/2023,26,PM10
5/24/2023,27,PM10
5/25/2023,24,PM10
5/26/2023,23,PM10
5/27/2023,12,PM10
5/28/2023,7,PM10
5/29/2023,10,PM10
5/30/2023,12,PM10
5/31/2023,17,PM10
6/1/2023,14,PM10
6/2/2023,16,PM10
6/3/2023,21,PM10
6/4/2023,20,PM10
6/5/2023,24,PM10
6/6/2023,24,PM10
6/7/2023,30,PM10
6/8/2023,31,PM10
6/9/2023,34,PM10
6/10/2023,33,PM10
6/11/2023,23,PM10
6/12/2023,15,PM10
6/13/2023,19,PM10
6/14/2023,14,PM10
6/15/2023,15,PM10
6/16/2023,17,PM10
6/17/2023,27,PM10
6/18/2023,35,PM10
6/19/2023,16,PM10
6/20/2023,18,PM10
6/21/2023,10,PM10
6/22/2023,10,PM10
6/23/2023,17,PM10
6/24/2023,23,PM10
6/25/2023,28,PM10
6/26/2023,19,PM10
6/27/2023,28,PM10
6/28/2023,30,PM10
6/29/2023,50,PM10
6/30/2023,50,PM10
7/1/2023,22,PM10
7/2/2023,19,PM10
7/3/2023,19,PM10
7/4/2023,27,PM10
7/5/2023,31,PM10
7/6/2023,20,PM10
7/7/2023,18,PM10
7/8/2023,19,PM10
7/9/2023,12,PM10
7/10/2023,14,PM10
7/11/2023,19,PM10
7/12/2023,19,PM10
7/13/2023,19,PM10
7/14/2023,15,PM10
7/15/2023,17,PM10
7/16/2023,19,PM10
7/17/2023,53,PM10
7/18/2023,57,PM10
7/19/2023,17,PM10
7/20/2023,25,PM10
7/21/2023,22,PM10
7/22/2023,18,PM10
7/23/2023,20,PM10
7/24/2023,18,PM10
7/25/2023,24,PM10
7/26/2023,26,PM10
7/27/2023,27,PM10
7/28/2023,25,PM10
7/29/2023,23,PM10
7/30/2023,18,PM10
7/31/2023,13,PM10
2/1/2023,17,PM2.5
2/2/2023,16,PM2.5
2/3/2023,25,PM2.5
2/4/2023,31,PM2.5
2/5/2023,30,PM2.5
2/6/2023,34,PM2.5
2/7/2023,52,PM2.5
2/8/2023,66,PM2.5
2/9/2023,50,PM2.5
2/10/2023,19,PM2.5
2/11/2023,18,PM2.5
2/12/2023,12,PM2.5
2/13/2023,21,PM2.5
2/14/2023,30,PM2.5
2/15/2023,55,PM2.5
2/16/2023,61,PM2.5
2/17/2023,21,PM2.5
2/18/2023,22,PM2.5
2/19/2023,33,PM2.5
2/20/2023,47,PM2.5
2/21/2023,41,PM2.5
2/22/2023,50,PM2.5
2/23/2023,48,PM2.5
2/24/2023,43,PM2.5
2/25/2023,41,PM2.5
2/26/2023,34,PM2.5
2/27/2023,50,PM2.5
2/28/2023,66,PM2.5
3/1/2023,75,PM2.5
3/2/2023,27,PM2.5
3/3/2023,48,PM2.5
3/4/2023,13,PM2.5
3/5/2023,22,PM2.5
3/6/2023,71,PM2.5
3/7/2023,75,PM2.5
3/8/2023,46,PM2.5
3/9/2023,71,PM2.5
3/10/2023,54,PM2.5
3/11/2023,23,PM2.5
3/12/2023,43,PM2.5
3/13/2023,21,PM2.5
3/14/2023,27,PM2.5
3/15/2023,31,PM2.5
3/16/2023,70,PM2.5
3/17/2023,59,PM2.5
3/18/2023,18,PM2.5
3/19/2023,23,PM2.5
3/20/2023,32,PM2.5
3/21/2023,56,PM2.5
3/22/2023,68,PM2.5
3/23/2023,66,PM2.5
3/24/2023,63,PM2.5
3/25/2023,36,PM2.5
3/26/2023,36,PM2.5
3/27/2023,30,PM2.5
